"","id","Tundra","Low_Shrub","Bare_Ground","Tall_Shrub_Forest","Wetlands","Developed"
"1","KOUG_K4_T25_19",0.0017825311942959,0.0124777183600713,0.0160427807486631,0.864527629233512,0.0445632798573975,0.0606060606060606
"2","KOUG_K4_T25_23",0.156193895870736,0.18491921005386,0,0.657091561938959,0.00179533213644524,0
"3","KOUG_K4_T25_20",0.00897666068222621,0.152603231597846,0,0.838420107719928,0,0
"4","KOUG_K4_T25_24",0,0.441281138790036,0,0.558718861209965,0,0
"5","KOUG_K4_T25_21",0.0866425992779783,0.866425992779783,0,0.0469314079422383,0,0
"6","KOUG_K4_T25_12",0.032258064516129,0.867383512544803,0.039426523297491,0.0609318996415771,0,0
"7","KOUG_K4_T25_7",0.00894454382826476,0.899821109123435,0.0429338103756708,0.0483005366726297,0,0
"8","KOUG_K4_T25_2",0,0.189624329159213,0,0.810375670840787,0,0
"9","KOUG_K4_T25_6",0.025089605734767,0.0017921146953405,0.00537634408602151,0.85663082437276,0.0627240143369176,0.0483870967741935
"10","KOUG_K4_T25_10",0.0035650623885918,0.0320855614973262,0.0427807486631016,0.805704099821747,0.0641711229946524,0.0516934046345811
"11","KOUG_K4_T25_14",0.0196428571428571,0.0357142857142857,0,0.944642857142857,0,0
"12","KOUG_K4_T25_18",0.00178571428571429,0.560714285714286,0,0.4375,0,0
"13","COUN_C4_T21_1",0.0899280575539568,0.156474820143885,0.0881294964028777,0.176258992805755,0.424460431654676,0.0647482014388489
"14","COUN_C4_T21_3",0.0393559928443649,0.0125223613595707,0.0983899821109123,0.543828264758497,0.171735241502683,0.134168157423971
"15","COUN_C4_T21_4",0.479427549194991,0.456171735241503,0,0.0644007155635063,0,0
"16","COUN_C4_T21_9",0.00892857142857143,0.275,0,0.716071428571429,0,0
"17","COUN_C4_T21_13",0.294642857142857,0.133928571428571,0,0.571428571428571,0,0
"18","COUN_C4_T21_16",0.0249554367201426,0.417112299465241,0,0.557932263814617,0,0
"19","COUN_C4_T21_19",0.357651245551601,0.581850533807829,0,0.0604982206405694,0,0
"20","COUN_C4_T21_21",0.196428571428571,0.167857142857143,0,0.635714285714286,0,0
"21","COUN_C4_T21_22",0.0232974910394265,0.245519713261649,0,0.724014336917563,0.00716845878136201,0
"22","COUN_C4_T21_20",0.134408602150538,0.396057347670251,0,0.426523297491039,0.043010752688172,0
"23","COUN_C4_T21_18",0,0.0464285714285714,0,0.953571428571429,0,0
"24","COUN_C4_T21_15",0,0.0231729055258467,0,0.932263814616756,0,0.0445632798573975
"25","COUN_C4_T21_12",0.233273056057866,0.341772151898734,0,0.4249547920434,0,0
"26","TELL_T5_T3_7",0.124548736462094,0.512635379061372,0.0072202166064982,0.29783393501805,0,0.0577617328519856
"27","TELL_T5_T3_11",0.100538599640934,0.258527827648115,0,0.538599640933573,0.102333931777379,0
"28","TELL_T5_T3_14",0.0036231884057971,0.208333333333333,0,0.78804347826087,0,0
"29","TELL_T5_T3_18",0.0987432675044883,0.136445242369838,0,0.764811490125673,0,0
"30","TELL_T5_T3_13",0.370503597122302,0.510791366906475,0,0.118705035971223,0,0
"31","TELL_T5_T3_5",0.453068592057762,0.496389891696751,0.0234657039711191,0.0270758122743682,0,0
"32","TELL_T5_T3_2",0.14336917562724,0.344086021505376,0,0.512544802867383,0,0
"33","TELL_T5_T3_25",0.0088809946714032,0.502664298401421,0,0.442273534635879,0,0.0461811722912966
"34","TELL_T5_T3_29",0.0306859205776173,0.92057761732852,0,0.0487364620938628,0,0
"35","TELL_T5_T3_32",0.0321428571428571,0.960714285714286,0,0.00714285714285714,0,0
"36","TELL_T5_T3_19",0.120071684587814,0.046594982078853,0,0.833333333333333,0,0
"37","COUN_C3_T14_4",0.00357142857142857,0.103571428571429,0.0892857142857143,0.664285714285714,0.0803571428571428,0.0589285714285714
"38","COUN_C3_T14_6",0.00716845878136201,0.0967741935483871,0.00716845878136201,0.836917562724014,0.017921146953405,0.0340501792114695
"39","COUN_C3_T14_9",0.145648312611012,0.238010657193606,0,0.616341030195382,0,0
"40","COUN_C3_T14_12",0.225225225225225,0.293693693693694,0,0.481081081081081,0,0
"41","COUN_C3_T14_13",0.0268336314847943,0.0465116279069767,0.0572450805008945,0.719141323792487,0.0858676207513417,0.0644007155635063
"42","COUN_C3_T14_2",0.316071428571429,0.514285714285714,0.0875,0.0821428571428571,0,0
"43","COUN_C3_T14_3",0.329181494661922,0.443060498220641,0.0604982206405694,0.167259786476868,0,0
"44","COUN_C3_T14_5",0.180679785330948,0.554561717352415,0.237924865831843,0.0268336314847943,0,0
"45","KOUG_K4_T28_5",0.0017825311942959,0.0231729055258467,0.0071301247771836,0.877005347593583,0.0392156862745098,0.0516934046345811
"46","KOUG_K4_T28_4",0.0178571428571429,0.285714285714286,0,0.696428571428571,0,0
"47","KOUG_K4_T28_8",0.0017921146953405,0.546594982078853,0.0860215053763441,0.365591397849462,0,0
"48","KOUG_K4_T28_11",0,0.0214285714285714,0,0.978571428571429,0,0
"49","KOUG_K4_T28_9",0.00535714285714286,0.0535714285714286,0.0142857142857143,0.848214285714286,0.0428571428571429,0.0357142857142857
"50","KOUG_K4_T17_18",0.211849192100539,0.190305206463196,0,0.570915619389587,0.0269299820466786,0
"51","KOUG_K4_T17_14",0.10752688172043,0.388888888888889,0,0.503584229390681,0,0
"52","KOUG_K4_T17_11",0.017825311942959,0.0142602495543672,0,0.967914438502674,0,0
"53","KOUG_K4_T17_8",0,0.213644524236984,0,0.786355475763016,0,0
"54","KOUG_K4_T17_6",0.0213903743315508,0.935828877005348,0,0.0427807486631016,0,0
"55","KOUG_K4_T17_4",0.0615942028985507,0.751811594202899,0,0.186594202898551,0,0
"56","KOUG_K4_T17_5",0.0695187165775401,0.502673796791444,0,0.427807486631016,0,0
"57","KOUG_K4_T17_10",0.00899280575539568,0.102517985611511,0,0.888489208633094,0,0
"58","KOUG_K4_T17_13",0.014336917562724,0.229390681003584,0,0.756272401433692,0,0
"59","KOUG_K4_T17_17",0.0107334525939177,0.0339892665474061,0,0.822898032200358,0.132379248658318,0
